Xeroderma pigmentosum-Cockayne syndrome complex	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
427	GO:BP	GO:0012501	programmed cell death	8.594760313561683e-06	True	"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]"	1849	104	29	17376	0.2788461538461538	0.0156841535965386	query_1	['GO:0008219']	['AKT1', 'NBN', 'MSH2', 'LIG4', 'MLH1', 'ERCC3', 'OGG1', 'BRCA2', 'PHLPP1', 'CDKN1A', 'AR', 'PARP1', 'ATM', 'RAD9A', 'MRE11', 'CCND2', 'APEX1', 'MNAT1', 'BRCA1', 'ERCC5', 'PRKDC', 'KAT5', 'BARD1', 'POLB', 'TP53', 'ERCC2', 'KDM1A', 'CCND1', 'MSH6']
428	GO:BP	GO:0010225	response to UV-C	8.870649715950225e-06	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm."" [GOC:tb]"	13	104	4	17376	0.0384615384615384	0.3076923076923077	query_1	['GO:0009411']	['BRCA2', 'ERCC5', 'WRN', 'TP53']
429	GO:BP	GO:1904506	negative regulation of telomere maintenance in response to DNA damage	8.870649715950225e-06	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of telomere maintenance in response to DNA damage."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:22579284]"	4	104	3	17376	0.0288461538461538	0.75	query_1	['GO:0032205', 'GO:0043247', 'GO:0048585', 'GO:1904505']	['ERCC1', 'ERCC4', 'XRCC1']
430	GO:BP	GO:0031860	telomeric 3' overhang formation	8.870649715950225e-06	True	"""The formation of the single stranded telomeric 3' overhang, a conserved feature that ranges in length from 12 nt in budding yeast to approximately 500 nt in humans."" [PMID:16096639]"	4	104	3	17376	0.0288461538461538	0.75	query_1	['GO:0016233', 'GO:0022616']	['NBN', 'RAD50', 'MRE11']
431	GO:BP	GO:0006273	lagging strand elongation	8.870649715950225e-06	True	"""The process in which an existing DNA strand is extended in a net 3' to 5' direction by activities including the addition of nucleotides to the 3' end of the strand, complementary to an existing template, as part of DNA replication. Lagging strand DNA elongation proceeds by discontinuous synthesis of short stretches of DNA, known as Okazaki fragments, from RNA primers; these fragments are then joined by DNA ligase. Although each segment of nascent DNA is synthesized in the 5' to 3' direction, the overall direction of lagging strand synthesis is 3' to 5', mirroring the progress of the replication fork."" [GOC:mah, ISBN:071673706X, ISBN:0815316194]"	4	104	3	17376	0.0288461538461538	0.75	query_1	['GO:0006271']	['LIG3', 'LIG1', 'POLA1']
432	REAC	REAC:R-HSA-5656121	Translesion synthesis by POLI	9.776458003704696e-06	True	Translesion synthesis by POLI	17	104	4	17376	0.0384615384615384	0.2352941176470588	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
433	REAC	REAC:R-HSA-5655862	Translesion synthesis by POLK	9.776458003704696e-06	True	Translesion synthesis by POLK	17	104	4	17376	0.0384615384615384	0.2352941176470588	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
434	REAC	REAC:R-HSA-2262752	Cellular responses to stress	1.0451699861736264e-05	True	Cellular responses to stress	768	104	17	17376	0.1634615384615384	0.0221354166666666	query_1	['REAC:R-HSA-8953897']	['AKT1', 'NBN', 'RAD50', 'H2AX', 'RPA2', 'CDKN1A', 'ATR', 'RPA3', 'AR', 'RPA1', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'CDK4', 'TP53', 'CDK6']
435	GO:BP	GO:0033043	regulation of organelle organization	1.0662688711943777e-05	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:mah]"	1153	104	22	17376	0.2115384615384615	0.0190806591500433	query_1	['GO:0006996', 'GO:0051128']	['AKT1', 'NBN', 'RAD50', 'RAD51AP1', 'LIG4', 'FEN1', 'RAD1', 'ATR', 'PARP1', 'XRCC5', 'ERCC1', 'ERCC4', 'ATM', 'MRE11', 'MNAT1', 'BRCA1', 'CDK2', 'XRCC1', 'KAT5', 'RMI2', 'TP53', 'PNKP']
436	GO:BP	GO:0001775	cell activation	1.1250380357909305e-05	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1063	104	21	17376	0.2019230769230769	0.0197554092191909	query_1	['GO:0009987', 'GO:0032501']	['AKT1', 'NBN', 'MSH2', 'TP53BP1', 'XRCC6', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'CDKN1A', 'ERCC1', 'NHEJ1', 'FANCD2', 'ATM', 'EXO1', 'PRKDC', 'KAT5', 'TP53', 'CDK6', 'RNF8', 'MSH6']
437	GO:CC	GO:0099086	synaptonemal structure	1.1927723897265691e-05	True	"""A proteinaceous scaffold found between homologous chromosomes during meiosis."" [GOC:elh, GOC:vw]"	39	104	5	17376	0.048076923076923	0.1282051282051282	query_1	['GO:0000794', 'GO:0110165']	['MLH1', 'BRCA2', 'BLM', 'RAD51', 'BRCA1']
438	GO:CC	GO:0000795	synaptonemal complex	1.1927723897265691e-05	True	"""A proteinaceous scaffold found between homologous chromosomes during meiosis. It consists of 2 lateral elements and a central element, all running parallel to each other. Transverse filaments connect the lateral elements to the central element."" [DOI:10.5772/29752, GOC:elh]"	39	104	5	17376	0.048076923076923	0.1282051282051282	query_1	['GO:0099086']	['MLH1', 'BRCA2', 'BLM', 'RAD51', 'BRCA1']
439	GO:BP	GO:0002449	lymphocyte mediated immunity	1.2019054072426009e-05	True	"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]"	286	104	11	17376	0.1057692307692307	0.0384615384615384	query_1	['GO:0002443']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
440	GO:BP	GO:1902969	mitotic DNA replication	1.2159141811842536e-05	True	"""Any nuclear DNA replication that is involved in a mitotic cell cycle."" [GO_REF:0000060, GOC:TermGenie]"	14	104	4	17376	0.0384615384615384	0.2857142857142857	query_1	['GO:0033260', 'GO:1903047']	['LIG1', 'BRCA2', 'POLA1', 'RAD51']
441	GO:BP	GO:0010639	negative regulation of organelle organization	1.2683047141609085e-05	True	"""Any process that decreases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	350	104	12	17376	0.1153846153846153	0.0342857142857142	query_1	['GO:0006996', 'GO:0033043', 'GO:0051129']	['AKT1', 'NBN', 'RAD50', 'RAD1', 'PARP1', 'ERCC1', 'ERCC4', 'ATM', 'MNAT1', 'BRCA1', 'XRCC1', 'TP53']
442	GO:BP	GO:0044093	positive regulation of molecular function	1.2929622434688602e-05	True	"""Any process that activates or increases the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]"	1465	104	25	17376	0.2403846153846154	0.0170648464163822	query_1	['GO:0065009']	['AKT1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'XRCC6', 'MSH3', 'PCNA', 'CDKN1A', 'AR', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'MRE11', 'CCND2', 'MNAT1', 'PRIM2', 'XRCC1', 'WRN', 'ERCC2', 'PNKP', 'KDM1A', 'CCND1', 'MSH6']
443	REAC	REAC:R-HSA-8953897	Cellular responses to stimuli	1.3207277146481633e-05	True	Cellular responses to stimuli	782	104	17	17376	0.1634615384615384	0.0217391304347826	query_1	['REAC:0000000']	['AKT1', 'NBN', 'RAD50', 'H2AX', 'RPA2', 'CDKN1A', 'ATR', 'RPA3', 'AR', 'RPA1', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'CDK4', 'TP53', 'CDK6']
444	REAC	REAC:R-HSA-8849470	PTK6 Regulates Cell Cycle	1.4456647994571142e-05	True	PTK6 Regulates Cell Cycle	6	104	3	17376	0.0288461538461538	0.5	query_1	['REAC:R-HSA-8848021']	['CDK2', 'CDK4', 'CCND1']
445	GO:BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1.4482638713606476e-05	True	"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]"	292	104	11	17376	0.1057692307692307	0.0376712328767123	query_1	['GO:0002250']	['NBN', 'MSH2', 'TP53BP1', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'ERCC1', 'EXO1', 'RNF8', 'MSH6']
446	GO:BP	GO:0065009	regulation of molecular function	1.4878637649589957e-05	True	"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]"	2477	104	34	17376	0.3269230769230769	0.0137262817924909	query_1	['GO:0065007']	['AKT1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'CDK7', 'XRCC6', 'PAXIP1', 'MSH3', 'PCNA', 'CDKN1A', 'AR', 'CCNH', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'ERCC4', 'FANCD2', 'BLM', 'MRE11', 'CCND2', 'MNAT1', 'PRIM2', 'ERCC5', 'XRCC1', 'WRN', 'TP53', 'ERCC2', 'PNKP', 'NEIL1', 'KDM1A', 'CCND1', 'MSH6']
447	REAC	REAC:R-HSA-110320	Translesion Synthesis by POLH	1.5278773430520413e-05	True	Translesion Synthesis by POLH	19	104	4	17376	0.0384615384615384	0.2105263157894736	query_1	['REAC:R-HSA-110313']	['RPA2', 'PCNA', 'RPA3', 'RPA1']
448	GO:BP	GO:0000280	nuclear division	1.6030350714714253e-05	True	"""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]"	426	104	13	17376	0.125	0.0305164319248826	query_1	['GO:0048285']	['BRIP1', 'RAD50', 'RAD51AP1', 'MLH1', 'BRCA2', 'RAD1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RAD51', 'KAT5', 'RMI1']
449	REAC	REAC:R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	1.69487831780532e-05	True	Tat-mediated elongation of the HIV-1 transcript	42	104	5	17376	0.048076923076923	0.119047619047619	query_1	['REAC:R-HSA-167169']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
450	REAC	REAC:R-HSA-167200	Formation of HIV-1 elongation complex containing HIV-1 Tat	1.69487831780532e-05	True	Formation of HIV-1 elongation complex containing HIV-1 Tat	42	104	5	17376	0.048076923076923	0.119047619047619	query_1	['REAC:R-HSA-167246']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
451	REAC	REAC:R-HSA-167169	HIV Transcription Elongation	1.69487831780532e-05	True	HIV Transcription Elongation	42	104	5	17376	0.048076923076923	0.119047619047619	query_1	['REAC:R-HSA-167172']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
452	GO:BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	1.9093341770594117e-05	True	"""Any process that modulates the frequency, rate or extent of telomere maintenance via telomere lengthening."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]"	62	104	6	17376	0.0576923076923076	0.0967741935483871	query_1	['GO:0010833', 'GO:0032204']	['ATR', 'PARP1', 'XRCC5', 'ERCC4', 'ATM', 'PNKP']
453	GO:BP	GO:0051338	regulation of transferase activity	1.9279457713555672e-05	True	"""Any process that modulates the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [GOC:ai]"	829	104	18	17376	0.173076923076923	0.0217129071170084	query_1	['GO:0050790']	['AKT1', 'NBN', 'RAD50', 'CDK7', 'XRCC6', 'PCNA', 'CDKN1A', 'CCNH', 'XRCC5', 'BLM', 'MRE11', 'CCND2', 'MNAT1', 'PRIM2', 'XRCC1', 'TP53', 'PNKP', 'CCND1']
454	GO:BP	GO:0045132	meiotic chromosome segregation	2.0158626278462937e-05	True	"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets during M phase of the meiotic cell cycle."" [GOC:ai, GOC:mah]"	98	104	7	17376	0.0673076923076923	0.0714285714285714	query_1	['GO:0098813', 'GO:0140013', 'GO:1903046']	['BRIP1', 'MLH1', 'ERCC4', 'FANCD2', 'ATM', 'MRE11', 'RMI1']
455	GO:BP	GO:0010638	positive regulation of organelle organization	2.0158626278462937e-05	True	"""Any process that increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle."" [GOC:dph, GOC:tb]"	508	104	14	17376	0.1346153846153846	0.0275590551181102	query_1	['GO:0006996', 'GO:0033043', 'GO:0051130']	['NBN', 'RAD50', 'RAD51AP1', 'LIG4', 'FEN1', 'ATR', 'XRCC5', 'ERCC1', 'ATM', 'MRE11', 'CDK2', 'KAT5', 'TP53', 'PNKP']
456	GO:BP	GO:0051106	positive regulation of DNA ligation	2.0836085950881813e-05	True	"""Any process that activates or increases the frequency, rate or extent of DNA ligation, the re-formation of a broken phosphodiester bond in the DNA backbone, carried out by DNA ligase."" [GOC:ai]"	5	104	3	17376	0.0288461538461538	0.6	query_1	['GO:0006266', 'GO:0051054', 'GO:0051105']	['APLF', 'RAD51', 'XRCC1']
457	REAC	REAC:R-HSA-167152	Formation of HIV elongation complex in the absence of HIV Tat	2.126975497768207e-05	True	Formation of HIV elongation complex in the absence of HIV Tat	44	104	5	17376	0.048076923076923	0.1136363636363636	query_1	['REAC:R-HSA-167172']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
458	REAC	REAC:R-HSA-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	2.5428425147677477e-05	True	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	46	104	5	17376	0.048076923076923	0.108695652173913	query_1	['REAC:R-HSA-73857']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
459	REAC	REAC:R-HSA-73776	RNA Polymerase II Promoter Escape	2.5428425147677477e-05	True	RNA Polymerase II Promoter Escape	46	104	5	17376	0.048076923076923	0.108695652173913	query_1	['REAC:R-HSA-76042']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
460	REAC	REAC:R-HSA-167162	RNA Polymerase II HIV Promoter Escape	2.5428425147677477e-05	True	RNA Polymerase II HIV Promoter Escape	46	104	5	17376	0.048076923076923	0.108695652173913	query_1	['REAC:R-HSA-167172']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
461	REAC	REAC:R-HSA-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	2.5428425147677477e-05	True	RNA Polymerase II Transcription Initiation And Promoter Clearance	46	104	5	17376	0.048076923076923	0.108695652173913	query_1	['REAC:R-HSA-73857']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
462	REAC	REAC:R-HSA-75953	RNA Polymerase II Transcription Initiation	2.5428425147677477e-05	True	RNA Polymerase II Transcription Initiation	46	104	5	17376	0.048076923076923	0.108695652173913	query_1	['REAC:R-HSA-76042']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
463	REAC	REAC:R-HSA-167161	HIV Transcription Initiation	2.5428425147677477e-05	True	HIV Transcription Initiation	46	104	5	17376	0.048076923076923	0.108695652173913	query_1	['REAC:R-HSA-167172']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
464	GO:BP	GO:0097305	response to alcohol	2.546926054281224e-05	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr, PMID:24014527]"	250	104	10	17376	0.0961538461538461	0.04	query_1	['GO:0010033', 'GO:1901700']	['AKT1', 'OGG1', 'PARP1', 'BLM', 'RAD51', 'USP46', 'BRCA1', 'POLB', 'CDK4', 'CCND1']
465	GO:BP	GO:0006367	transcription initiation at RNA polymerase II promoter	2.602695348841444e-05	True	"""A transcription initiation process that takes place at a RNA polymerase II gene promoter. Messenger RNAs (mRNA) genes, as well as some non-coding RNAs, are transcribed by RNA polymerase II."" [GOC:mah, GOC:txnOH]"	102	104	7	17376	0.0673076923076923	0.0686274509803921	query_1	['GO:0006352', 'GO:0006366']	['CDK7', 'PAXIP1', 'ERCC3', 'CCNH', 'ERCC1', 'CDK4', 'TP53']
466	GO:BP	GO:0045191	regulation of isotype switching	2.602695348841444e-05	True	"""Any process that modulates the frequency, rate or extent of isotype switching."" [GOC:ai]"	37	104	5	17376	0.048076923076923	0.1351351351351351	query_1	['GO:0000018', 'GO:0002637', 'GO:0002889', 'GO:0045190', 'GO:0050864']	['MSH2', 'TP53BP1', 'PAXIP1', 'APLF', 'MLH1']
467	REAC	REAC:R-HSA-113510	E2F mediated regulation of DNA replication	2.6172429935099955e-05	True	E2F mediated regulation of DNA replication	22	104	4	17376	0.0384615384615384	0.1818181818181818	query_1	['REAC:R-HSA-69206']	['POLA1', 'PRIM1', 'PRIM2', 'POLA2']
468	GO:BP	GO:0000076	DNA replication checkpoint signaling	2.696570781676992e-05	True	"""A signal transduction process that contributes to a DNA replication checkpoint, that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome."" [GOC:curators, GOC:rn, PMID:11728327, PMID:12537518]"	17	104	4	17376	0.0384615384615384	0.2352941176470588	query_1	['GO:0031570']	['HUS1', 'RAD9B', 'RAD9A', 'HUS1B']
469	REAC	REAC:R-HSA-73762	RNA Polymerase I Transcription Initiation	2.7913478774959625e-05	True	RNA Polymerase I Transcription Initiation	47	104	5	17376	0.048076923076923	0.1063829787234042	query_1	['REAC:R-HSA-73854']	['CDK7', 'ERCC3', 'CCNH', 'MNAT1', 'ERCC2']
470	GO:BP	GO:1905168	positive regulation of double-strand break repair via homologous recombination	2.959816487322704e-05	True	"""Any process that activates or increases the frequency, rate or extent of double-strand break repair via homologous recombination."" [GO_REF:0000058, GOC:TermGenie, PMID:12023299]"	38	104	5	17376	0.048076923076923	0.131578947368421	query_1	['GO:0000724', 'GO:0010569', 'GO:0045911', 'GO:2000781']	['RBBP8', 'RAD51AP1', 'WDR48', 'PARP1', 'KAT5']
471	GO:BP	GO:0035264	multicellular organism growth	3.068452120969822e-05	True	"""The increase in size or mass of an entire multicellular organism, as opposed to cell growth."" [GOC:bf, GOC:curators, GOC:dph, GOC:tb]"	149	104	8	17376	0.0769230769230769	0.0536912751677852	query_1	['GO:0032501', 'GO:0048589']	['WDR48', 'AR', 'ERCC1', 'ATM', 'CDK4', 'RMI1', 'TP53', 'ERCC2']
472	GO:BP	GO:0050790	regulation of catalytic activity	3.418876336396222e-05	True	"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]"	1766	104	27	17376	0.2596153846153846	0.0152887882219705	query_1	['GO:0065009']	['AKT1', 'NBN', 'MSH2', 'RAD50', 'CDK7', 'XRCC6', 'MSH3', 'PCNA', 'CDKN1A', 'CCNH', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'BLM', 'MRE11', 'CCND2', 'MNAT1', 'PRIM2', 'ERCC5', 'XRCC1', 'WRN', 'TP53', 'PNKP', 'NEIL1', 'CCND1', 'MSH6']
